tiles_user,tiles_review
Thiruvanan Thirumaran,"Honest review by Current student. 1. I had a very very bad experience from Jigsaw. not only me. I have lots of co students who had experience who studied from Jigsaw. 2. Certification : Certification is very useless. No companies are accepting the Jigsaw Certification. Even they are asking whats Jigsaw Academy. From this I understand Jigsaw only claims that it has been widely accepted by companies. Again it is a cheating (marketing gimmick) to enroll more students. 3.Counselling and Enrolling: Lots and lots of Fake statements given be counsellor (jigsaw) to enroll you. You ll realize once you jigsaw. If you want to lose your hard earned money in river, then you can proceed. 4. Placement : Wow, What a placement support. From the day i completed the course, lots and lots of job opportunities they are posting. But it requires experience. Haha. You cant apply to any of those companies. Please think about this - Those who want to enter into Analytics will have no analytics experience. If so, to whom they are sending the placement opportunties. Again its a marketing gimmick to enroll more students 5. Mock Interviews : Very very funny one. there are some faculties there whose behaviour will be very rude to students who ask doubts. Wow what a faculty support If you have huge money and dont mind spending for useless thing, you can invest here"
Vineeta Bansal,"I recently completed Data Science certification from Jigsaw. I found Jigsaw course contend and assignments is good enough to get hands on experience, learn data science and be industry ready. Faculty at Jigsaw always helped me to clear doubts.
I appreciate their placement assistance. They keep updating about job opportunity available in market in data science domain.I got job opportunity in well known analytics company via jigsaw placement.
So kudos to jigsaw."
Rita Makharia,"I have joined the big data and analytics course at jigsaw. Being a data analyst myself , I am very impressed with the course videos. The content of the videos is short crisp and clear with great examples. Easy to understand and more over their app is most useful. The biggest issue of online learning is about finishing the course. That is why the mobile app which jigsaw has launched for the students now helps u to finish the course more effectively. Now u can do your learning while u travel or whenever u have a few minutes to spare. This way it is easy to finish the course faster and better."
Anonymous,"i joined jigsaw in 2015 . i enrolled in SAS and R language . I paid around 67k for the combo course .
What i found after taking up the course :-
SAS course teaches you only the basics which doesn’t have much value. the certification offered is not recognized on a international platform . I regret not going for the Original Certification by the SAS community itself .
R course is much better .when compared to SAS .
They rush through the various topics .few short videos on each topic.
faculty is busy most of the days on corporate training if you call them . If you go for chat support even that goes to offline message . you need to raise a ticket for every damn issue .it gets sorted within 3 days max.
most of things you need to figure out on your own , if you are not that good in self study .dont go for an online course like this one . you will regret mostly .This is not for average students at all .
they help you out 20% ,remaining 80% its your own effort .You need to really work your ass off to complete the course .Faculty is helpful but they seem unavailable mostly and it becomes really difficult to get your queries solved through email or phone .You mostly end up browsing through stackoverflow for help .
Placement is not good at all .Most of the job which they post are for experienced eg:- 2–3 years of experience working in R and SAS , you ll end up wondering then why would you take up a course online for this , when you already working on it . getting placed is a pure luck . If you know multiple languages in data analytics and you are good at building models . Yes you can sure get a job .its all about working hard and not just joining the courses offered by them .Placement offered by them is mostly in bangalore . If you are ready to relocate , go for it .
THERE ARE LOADS OF FREE COURSES AND EVEN PAID COURSES WHICH ARE WAY BETTER THAN JIGSAW .
Analytics teaches you the strategy to market your business to attract buyers .Jigsaw is an awesome example for it . it has flashy marketing and 5 star reviews everywhere . the Company has put loads of effort in doing this(they contact the people who write bad reviews and make them remove it somehow) , i wish they would atleast put a bit of this effort in the course content and placement .
Its all upto you , how much effort you put in learning from various sources , books , youtube videos , practice practice . Jigsaw gives a certificate and few concepts .thats it ."
Dravid Deedfoot,"Completed Big data specialization course from Jigsaw. Course is well structured and easy to understand. Hands on experience via Lab and case studies make it lot more interesting to learn and grasp the content. Faculty support is good. Apart from the course, Jigsaw hosts lot of competitions where students can connect with industry experts and learn by working on projects in the competition. Really appreciate Jigsaw academy's efforts to conduct such events and engage students. Jigsaw is like a family. They have helped me build my profile in all possible ways and were always there when i needed them. I would recommend students and working professionals who want to get into big data analytics to join the Jigsaw community. As far as finding a job is concerned, Jigsaw will keep posting if there are any opportunities. Students need to spend some time building their profile and keep applying according to their skillset. Usually companies give 30% hike on your current CTC. But it may be more depending on the requirement, role and skillset for which company is hireing.
4�Z�SD"
Pavan Kumar,"First of all I would like to thankful to Team JIGSAW! Recently,I got placed in GSAPNN TECHNOLOGIES, INC. as Jr Data Scientist Trainee.
Yes, Its worth of investing time and money but if and only if you have to do the course SINCERELY with PASSIONATE ON Data science.
They will help a lot if we show an interest toward it and as fresher It’s easy to learn from scratch with the help of their animated Pre-class video lectures. Its very easy to understand.
The assignments they created which are close to current scenario real time projects and you will feel while work on these projects like you are doing real time projects in data science industry.
The response from support team and faculty is good which will helps to solve doubts in less time. without any doubt they will show all possible ways to get success in the field of analytics."
Krishna Kumar,"I enrolled for the Jigsaw Data science certification because I wanted a job in analytics. The course was good, case studies were helpful and their faculty was prompt.
But I had a hard time looking for job openings. I was looking for a job in Hyderabad where my parents stay. All their job openings for Bangalore, Delhi and Mumbai. I called many times but they did not give any openings in Hyderabad.
Finally, they put me in touch with a start up in Hyderabad. I got a job after clearing the interview.
I think Jigsaw Academy is good but they need to provide placement assistance for all cities in India."
Anonymous,"The Jigsaw Academy has come up with a very unique and neat way of presenting the concepts on Big Data(which I have attended-Big Data Specialist course).
The course was in depth , detailed and have provided nice videos on concepts like Map reduce, Pig,Hive.
Why to choose Jigsaw Academy?
Indepth knowledge on all concepts.
Good team for asking queries and getting it resolved.
Certifications from IBM can be easy when we go through this course.
Pain Points
Bigger and better real time projects.
More companies are in Noida or places (not Bangalore), which should help.
I would only like to add that the real time case studies can be made more regular."
Sushant Surankar,"Yes absolutely. I am currently working as Quality Engineer in Pune since 5 years and willing to switch to data analytics field now. So I joined Jigswa in April 2017 for data science specialization and never regret till now. The course content is perfectly designed so that any person understand basic mathematics will be able to understand easily, access to the study material, lab is also so easy. I think if anyone wants to step into Analytics career then Jigsaw is the best platform for them. Their support is so quick and efficient that if you face any problem and you contact them via email, call or chat they make sure that your issue/query will be resolved in a day. They are full of professionalism and care towards their students. They also keep organising webinars from well known personalities in analytics field. And this helps student like to gain confidence in what we are doing. Specially people like who are willing to change their role. This is indeed best training institue in data analytics/data science/machine learning and what not."
Malhar Takle,"Absolutely worth investing Time & Money. After completing my IT Engineering, I found the best online course of Data Analytics with Jigsaw Academy. Thanks to the friends who told me about it. I subscribed the online courses last year. Unfortunately, couldn’t yet complete the course due to my other works but really happy with the easiest video lectures and easy-to-understand content. Analytics being a new field, they have really worked well to make easy self-learning video tutorials. Hoping to finish it soon and work in the field of Data Analytics."
Debee S,"Jigsaw Academy would be highly recommended if you are willing to upskill on any of the latest technologies in the market. Their course structure is detailed and the faculties are very helpful.
I have had a great experience while doing a course at Jigsaw Academy. Initially i was a little skeptical about doing a online course and did a lot of research on various institutes, I neither had the time nor the bandwidth to take up sometime full time so I finalized on Jigsaw Academy after reading all the good reviews online and on Quora. But once i finished the course i was quite happy with the kind of knowledge i gained during the tenure of the course.
I personally believe that getting a job is all about having right skills and knowledge and Jigsaw does a decent job in empowering you with the best of knowledge. With the advent of so many new technologies it has become very vital to up skill for not only sustaining an IT job but upskilling at the same time.
You should definitely give it a shot and I would personally recommend their Machine Learning course as i did the same a while ago.
All the best & Thanks!"
Arun Mozhi Varman Rajagopal,"I enrolled in Jigsaw Academy for Data Scientist Course. It is a best online delivery center for Analytics.
They have best trainers and content for the course they are offering. Mainly on statistics even if we are not from the statistics background, the way they are explaining is easy to understand the logic behind that.
Faculty support is pretty good."
Sandeep Tyagi,"I have done 2 courses with Jigsaw Academy. I did the Foundation course in analytics in April 2013 and I recently completed the data science certification as well. I think if I share my experience it will help.
I got interested in analytics when my batch mate got a 6.5 lakh salary as a business analyst. I was making about 4 lakhs pa at that time and the idea of getting 15-20k more in hand was very appealing. I decided to learn business analytics and like most of my ideas it started with a Google search.
Eventually I landed on the Jigsaw blog and found very good information there. I think their blog is the best source of information on analytics. Personally, the decision to take their course was very influenced by the quality of the articles on their blog. I also like the videos on their youtube channel.
My initial experience with Jigsaw was not very good. My credit card payment was not going through and their team was not of much help. Finally, it got sorted and I started the course.
The best thing about the foundation course is that they try to keep it simple as much as they can. Of course, I still found SAS very intimidating when I started. But the support from the faculty was good.
I remember the sound quality of some the videos was an issue – the voice was not clear and sometimes their was an echo. I found the audio quality of the newer videos (data science course) a lot better. I have been told they have changed the audio quality of the foundation videos now as well.
I think the case studies at Jigsaw are very good. Some of my friends who have done courses in other places tell me the case studies there are more like discussions on a business problem. Whereas, the Jigsaw case studies require you to actually build predictive models on data. This is what helps a Jigsaw student –the case studies I did during my course are very similar to the kind of projects I do now at work.
Lately they have also started chat support for the students. This was not there during my first course and I think this is a huge help for students especially on weekends. Getting answers to your questions in real time really helps.
I have also seen a lot of Jigsaw copy-cats in the market now. They are trying to offer the same courses as Jigsaw, copying their platform, the virtual lab and everything else. I think imitation is the highest form of flattery and this proves to me that Jigsaw is doing a great job in teaching analytics.
Some other things to consider – they are the first ones to tie up with an academic institute of repute (Great Lakes management college) to offer a 1 year program in analytics. I heard their programs are now being offered in IIMs as well.
My friends in Accenture tell me Jigsaw does training for Accenture employees as well.
I think all of this points to a solid product and customer service. Personally, Jigsaw has helped me shape my career and I will forever be indebted to them for that."
